company,name,year,price_no,kms_no,fuel_type
Jeep,Jeep Compass 2.0,2017,1002999,86226,Diesel
Renault,Renault Duster RXZ,2021,1283000,13248,Petrol
Toyota,Toyota Camry 2.5,2016,1639999,60343,Petrol
Honda,Honda Jazz VX,2018,777000,26696,Petrol
Volkswagen,Volkswagen Polo 1.2,2016,515000,69414,Petrol
Volkswagen,Volkswagen Vento 1.2,2017,766000,49719,Petrol
Volkswagen,Volkswagen Vento 1.2,2017,758000,43688,Petrol
Honda,Honda WR-V VX,2021,1160000,14470,Diesel
Honda,Honda City i,2015,699000,21429,Petrol
Renault,Renault Duster Petrol,2017,753000,31750,Petrol
Maruti,Maruti Baleno 1.2,2017,643000,38203,Petrol
Honda,Honda City i,2014,543000,110284,Petrol
Mahindra,Mahindra XUV300 W6,2020,861999,10381,Petrol
Jeep,Jeep Compass 1.4,2019,1678000,32378,Petrol
Honda,Honda City V,2020,1002999,38906,Petrol
Hyundai,Hyundai Grand i10,2016,563000,59313,Petrol
Hyundai,Hyundai i20 1.4,2017,667000,85672,Diesel
Maruti,Maruti Ciaz 1.4,2017,673000,34971,Petrol
Nissan,Nissan Micra XL,2015,321000,35894,Petrol
Maruti,Maruti Ciaz Alpha,2019,850000,56000,Petrol
Maruti,Maruti Swift Dzire,2014,434000,56568,Petrol
Renault,Renault KWID RXT,2017,311000,48872,Petrol
Renault,Renault KWID RXL,2019,370000,17346,Petrol
Jeep,Jeep Compass 2.0,2019,1588000,15414,Diesel
Hyundai,Hyundai Grand i10,2018,541000,21239,Petrol
Maruti,Maruti Alto K10,2014,223000,62361,Petrol
Hyundai,Hyundai Verna 1.6,2015,588000,79329,Petrol
Hyundai,Hyundai Tucson GLS,2021,2278000,11945,Petrol
Maruti,Maruti Swift Dzire,2018,612000,51324,Petrol
Nissan,Nissan Magnite XV,2021,744000,5717,Petrol
Honda,Honda City i,2016,839000,46417,Petrol
Honda,Honda Amaze S,2015,420000,100161,Petrol
Hyundai,Hyundai Grand i10,2016,491000,35424,Petrol
Hyundai,Hyundai EON Era,2017,293000,51085,Petrol
Maruti,Maruti Alto 800,2016,298000,30983,Petrol
Renault,Renault KWID RXL,2016,260000,32681,Petrol
Hyundai,Hyundai EON Magna,2014,238000,57581,Petrol
Honda,Honda Jazz 1.2,2016,605000,39821,Petrol
Maruti,Maruti Alto 800,2018,323000,21186,Petrol
Renault,Renault KWID RXL,2018,326000,34972,Petrol
Honda,Honda Amaze S,2015,421000,46623,Petrol
Kia,Kia Seltos GTX,2019,1553000,18557,Petrol
Jeep,Jeep Compass 2.0,2017,1243000,58463,Diesel
MG,MG Hector Plus,2020,1850000,5000,Petrol
Tata,Tata Harrier XZ,2019,1590000,66000,Diesel
Renault,Renault Duster Petrol,2019,890000,14000,Petrol
BMW,BMW 5 Series,2019,4300000,61000,Diesel
Hyundai,Hyundai i20 1.4,2017,600000,65392,Diesel
Mercedes-Benz,Mercedes-Benz CLA 200,2018,2700000,37000,Petrol
Maruti,Maruti XL6 Zeta,2020,1090000,9000,Petrol
Hyundai,Hyundai Grand i10,2017,590000,32000,Petrol
Mahindra,Mahindra XUV500 W8,2012,650000,68000,Diesel
Hyundai,Hyundai i20 Magna,2017,675000,13000,Petrol
Datsun,Datsun RediGO AMT,2020,370000,30000,Petrol
Honda,Honda Brio VX,2015,525000,34300,Petrol
Honda,Honda City i,2015,725000,45000,Petrol
Toyota,Toyota Corolla Altis,2014,850000,37000,Petrol
Jeep,Jeep Compass 1.4,2018,1400000,50000,Petrol
Volvo,Volvo XC60 D4,2015,1500000,105241,Diesel
Toyota,Toyota Corolla Altis,2019,1390000,54000,Petrol
Hyundai,Hyundai Verna VTVT,2019,890000,19600,Petrol
Audi,Audi A4 2.0,2015,1689999,48000,Diesel
Audi,Audi Q3 2.0,2012,1390000,69500,Diesel
BMW,BMW 5 Series,2012,1500000,71000,Diesel
Porsche,Porsche Cayenne S,2014,4500000,48894,Diesel
Maruti,Maruti A-Star Zxi,2008,153000,46257,Petrol
Ford,Ford Ecosport 1.5,2015,509000,78264,Diesel
Honda,Honda Jazz 1.2,2016,546000,42451,Petrol
Volkswagen,Volkswagen Vento Diesel,2012,273000,131861,Diesel
Maruti,Maruti Wagon R,2012,180000,128004,Petrol
Chevrolet,Chevrolet Beat Diesel,2012,110000,150349,Diesel
Maruti,Maruti Wagon R,2017,369000,29033,Petrol
BMW,BMW 3 Series,2015,1350000,99000,Diesel
Renault,Renault KWID RXL,2018,275000,47000,Petrol
Maruti,Maruti Baleno 1.3,2018,550000,35000,Diesel
Mercedes-Benz,Mercedes-Benz C-Class C,2013,975000,58000,Diesel
Honda,Honda City S,2012,400000,48000,Petrol
Honda,Honda Amaze VX,2014,475000,45000,Petrol
Hyundai,Hyundai EON D,2012,190000,60000,Petrol
Hyundai,Hyundai i20 Magna,2014,465000,23000,Petrol
Hyundai,Hyundai Grand i10,2019,459999,45000,Petrol
Hyundai,Hyundai i10 Magna,2014,325000,45000,Petrol
Maruti,Maruti Ertiga VDI,2013,525000,58000,Diesel
Hyundai,Hyundai i20 1.2,2018,625000,48000,Petrol
BMW,BMW 2 Series,2021,4000000,18000,Petrol
Skoda,Skoda Kushaq 1.0,2022,1675000,16000,Petrol
Honda,Honda City i-VTEC,2019,1000000,24000,Petrol
MG,MG Hector Plus,2021,1789999,36000,Diesel
Jeep,Jeep Compass 1.4,2019,1390000,35000,Petrol
Honda,Honda Amaze E,2019,610000,64000,Petrol
Maruti,Maruti Vitara Brezza,2017,775000,72000,Diesel
Hyundai,Hyundai Grand i10,2015,459999,29900,Petrol
Mahindra,Mahindra XUV700 AX5,2022,2091000,20000,Diesel
Tata,Tata Indigo VX,2013,310000,160000,Diesel
Tata,Tata Tiago XZ,2020,565000,16000,Petrol
Honda,Honda WR-V i-VTEC,2019,900000,17000,Petrol
Lexus,Lexus NX 300h,2018,4200000,111000,Petrol
Mercedes-Benz,Mercedes-Benz M-Class ML,2015,2850000,38000,Diesel
Honda,Honda Jazz 1.5,2015,550000,32000,Diesel
Volkswagen,Volkswagen Polo 1.2,2015,450000,67000,Petrol
Ford,Ford Ecosport 1.5,2016,675000,50000,Petrol
Maruti,Maruti Swift VDI,2010,180000,110000,Diesel
Hyundai,Hyundai Verna VTVT,2017,775000,51000,Petrol
Hyundai,Hyundai Grand i10,2017,550000,83000,Diesel
Audi,Audi Q3 35,2016,2400000,38000,Diesel
Hyundai,Hyundai Creta 1.6,2018,1325000,58000,Diesel
Hyundai,Hyundai Creta 1.6,2018,1100000,36000,Petrol
Volkswagen,Volkswagen Vento 1.0,2020,1050000,23500,Petrol
Hyundai,Hyundai i20 1.2,2017,650000,60000,Petrol
Skoda,Skoda Superb LK,2018,2500000,18000,Petrol
Honda,Honda Amaze V,2017,600000,36500,Petrol
Skoda,Skoda Superb Sportline,2021,3100000,25000,Petrol
Kia,Kia Seltos HTX,2020,1575000,20500,Petrol
Honda,Honda Amaze S,2015,450000,30000,Petrol
Hyundai,Hyundai i20 Magna,2017,590000,59000,Petrol
BMW,BMW X1 sDrive,2014,1450000,80000,Diesel
Hyundai,Hyundai Xcent 1.2,2017,380000,50000,Diesel
Tata,Tata Harrier XZAS,2021,2100000,32000,Diesel
Hyundai,Hyundai i10 Era,2012,261000,120000,Petrol
Land,Land Rover Discovery,2021,110000,33000,Petrol
Mini,Mini 3 DOOR,2019,4200000,6900,Petrol
Tata,Tata Harrier XZA,2022,2250000,4500,Diesel
Volvo,Volvo S90 D4,2018,4200000,51000,Diesel
Kia,Kia Seltos GTX,2022,1975000,12000,Diesel
Maruti,Maruti Vitara Brezza,2018,950000,37000,Diesel
Hyundai,Hyundai Verna SX,2021,1451000,35000,Diesel
Maruti,Maruti Wagon R,2016,300000,80000,Petrol
Hyundai,Hyundai Grand i10,2016,459999,60000,Petrol
Honda,Honda Amaze VX,2022,915000,10000,Petrol
